时间t(s),弹簧瞬时长度l(m),滑移量xi(m)
106.8,0.4987797655,0.04682226548
107,0.4865973712,0.03463987123
107.2,0.4704428613,0.01848536127
107.4,0.4522935769,0.0003360769225
107.6,0.434320807,-0.01763669302
107.8,0.4185902611,-0.03336723888
108,0.4068122545,-0.04514524554
108.2,0.400197865,-0.05175963495
108.4,0.3994153947,-0.0525421053
108.6,0.4045845902,-0.04737290977
108.8,0.4152491646,-0.03670833538
109,0.4303359331,-0.02162156685
109.2,0.4481763474,-0.003781152616
109.4,0.4666613178,0.01470381783
109.6,0.4835254753,0.03156797534
109.8,0.4966834776,0.04472597765
110,0.504525898,0.05256839802
110.2,0.5061196941,0.05416219407
110.4,0.5013044388,0.04934693878
110.6,0.4906966203,0.03873912025
110.8,0.4756088727,0.02365137271
111,0.4578818426,0.005924342553
111.2,0.4396368626,-0.01232063736
111.4,0.4229888466,-0.02896865341
111.6,0.4097855661,-0.04217193392
111.8,0.401431048,-0.05052645199
112,0.3988024513,-0.05315504874
112.2,0.4022162538,-0.04974124619
112.4,0.4113911636,-0.04056633641
112.6,0.4254061912,-0.02655130878
112.8,0.4427144069,-0.009243093137
113,0.4612790629,0.009321562939
113.2,0.4788383354,0.02688083541
113.4,0.4932340889,0.04127658893
113.6,0.5027163236,0.05075882359
113.8,0.5061633677,0.05420586773
114,0.5032019904,0.0512444904
114.2,0.4942360324,0.04227853235
114.4,0.4803897345,0.0284322345
114.6,0.4633621811,0.01140468112
114.8,0.4451969213,-0.006760578693
115,0.4280013443,-0.02395615571
115.2,0.4136812796,-0.03827622044
115.4,0.4037543576,-0.0482031424
115.6,0.3992592418,-0.05269825818
115.8,0.400717294,-0.05124020599
116,0.4080842467,-0.04387325334
116.2,0.4206791902,-0.03127830982
116.4,0.4371535553,-0.01480394466
116.6,0.4555847036,0.003627203623
116.8,0.4737199053,0.02176240527
117,0.4893119144,0.0373544144
117.2,0.5004483418,0.04849084176
117.4,0.5058006178,0.05384311777
117.6,0.5047687321,0.05281123208
117.8,0.4975319469,0.04557444687
118,0.4850171249,0.03305962493
118.2,0.4687811381,0.01682363805
118.4,0.4508018651,-0.001155634916
118.6,0.4331992931,-0.01875820688
118.8,0.4179483535,-0.03400914648
119,0.4066607617,-0.0452967383
119.2,0.4004779222,-0.05147957776
119.4,0.400046574,-0.05191092601
119.6,0.4055005583,-0.04645694174
119.8,0.4163986208,-0.03555887916
120,0.4316547431,-0.02030275685
120.2,0.4495592565,-0.002398243451
120.4,0.4679587865,0.01600128648
120.6,0.4845693405,0.03261184048
120.8,0.4973260951,0.04536859511
121,0.504673905,0.05271640497
121.2,0.5057520742,0.05379457416
121.4,0.5004751429,0.04851764291
121.6,0.4895272722,0.03756977219
121.8,0.4742754101,0.02231791005
122,0.4565938966,0.004636396564
122.2,0.4386063957,-0.01335110429
122.4,0.4223889741,-0.02956852591
122.6,0.4097096382,-0.0422478618
122.8,0.4018688901,-0.05008860991
123,0.399647744,-0.05230975595
123.2,0.403304737,-0.048652763
123.4,0.4125518039,-0.0394056961
123.6,0.4265005839,-0.02545691605
123.8,0.4436501323,-0.008307367733
124,0.4620013058,0.01004380584
124.2,0.4793149739,0.02735747394
124.4,0.4934467036,0.04148920364
124.6,0.5026599325,0.05070243254
124.8,0.505850325,0.05389282496
125,0.5026642113,0.05070671129
125.2,0.4935231693,0.04156566928
125.4,0.4795653751,0.02760787514
125.6,0.4625017769,0.01054427686
125.8,0.444388364,-0.007569135999
126,0.4273439277,-0.0246135723
126.2,0.4132758494,-0.03868165058
126.4,0.4036807713,-0.04827672866
126.6,0.3995467091,-0.05241079086
126.8,0.4013227868,-0.0506347132
127,0.4088947979,-0.04306270214
127.2,0.4215416033,-0.03041589666
127.4,0.4379179855,-0.01403951452
127.6,0.4561410495,0.004183549452
127.8,0.474013422,0.02205592204
128,0.4893385709,0.03738107094
128.2,0.5002397028,0.04828220284
128.4,0.5054082907,0.05345079066
128.6,0.5042528937,0.05229539372
128.8,0.4969527328,0.04499523285
129,0.4844259408,0.03246844077
129.2,0.4682120524,0.01625455241
129.4,0.4502679349,-0.001689565123
129.6,0.4326997556,-0.01925774441
129.8,0.4174871254,-0.03447037464
130,0.406267038,-0.04569046199
130.2,0.4002132533,-0.05174424668
130.4,0.3999873513,-0.05197014865
130.6,0.4057009074,-0.04625659264
130.8,0.4168550806,-0.03510241945
131,0.4322954843,-0.01966201571
131.2,0.4502641106,-0.001693389421
131.4,0.46859663,0.01663913
131.6,0.4850325501,0.0330750501
131.8,0.4975494898,0.04559198983
132,0.5046378156,0.05268031556
132.2,0.5054765026,0.05351900255
132.4,0.5000115926,0.04805409265
132.6,0.4889496434,0.0369921434
132.8,0.4736670357,0.02170953566
133,0.4560289891,0.004071489111
133.2,0.4381306778,-0.01382682222
133.4,0.4220104098,-0.0299470902
