时间t(s),相对位移u=zo-zf(m),相对角phi=thetao-thetaf(rad),直线PTO功率Pl(W),旋转PTO功率Ptheta(W)
57.8,-0.009101844266,-0.0002885788792,74.9338121,0.03651072847
58,0.008347620516,-0.001449990876,74.37646783,0.02990571334
58.2,0.02473485468,-0.002437815824,57.84648079,0.01869514342
58.4,0.03819291421,-0.003150147098,32.76752535,0.007508443154
58.6,0.04720211922,-0.003516486274,10.24286636,0.0008037804028
58.8,0.05076006995,-0.003505092535,0.1062256905,0.00100404999
59,0.0484916781,-0.00312593073,6.603854301,0.007548566457
59.2,0.04068735766,-0.00242892594,26.59526257,0.01723912309
59.4,0.02826569243,-0.001497767414,51.02682207,0.02569375447
59.6,0.01266539378,-0.0004400086954,68.98727728,0.02925070605
59.8,-0.004320763973,0.0006253738564,72.53267605,0.0264910244
60,-0.02075095412,0.00158152251,60.15455366,0.01873928575
60.2,-0.03475496584,0.002326785774,37.38467513,0.009365563704
60.4,-0.04474565166,0.002785865504,14.29992662,0.002237988279
60.6,-0.04959745998,0.002917774389,1.050486024,3.210165334e-05
60.8,-0.0487721667,0.002719734295,3.389628699,0.00313910777
61,-0.04237791434,0.002226622756,20.16664888,0.009623998489
61.2,-0.03115517392,0.001506093167,43.87044827,0.01620502243
61.4,-0.01639143012,0.0006499936387,63.96806743,0.01977621599
61.6,0.0002256522621,-0.000236867848,71.55888317,0.01877344944
61.8,0.01679996913,-0.001049267016,63.29469359,0.01378281117
62,0.03144201886,-0.001693932384,42.8447322,0.007153782811
62.2,0.04248305146,-0.002100292705,19.26622715,0.001836771519
62.4,0.04866423739,-0.002228360492,3.000995404,6.239206612e-06
62.6,0.04927955669,-0.002072858275,1.261478588,0.002106009159
62.8,0.04425627488,-0.00166314531,14.8389151,0.006736309899
63,0.03416384838,-0.001059002335,37.74314751,0.01140037555
63.2,0.02015011915,-0.0003428216191,59.83937817,0.01373114844
63.4,0.003811828599,0.0003908285086,71.32640257,0.01260832653
63.6,-0.01298610395,0.00104699062,67.08372392,0.008644999161
63.8,-0.02832226474,0.001542030222,48.96358459,0.003832919732
64,-0.04043753651,0.001813863946,25.00205087,0.0005368649923
64.2,-0.04793622391,0.00182947966,5.880520369,0.0003324223366
64.4,-0.04994660698,0.001588853757,0.1895494425,0.003247182711
64.6,-0.04622247972,0.001124805833,10.58993071,0.007765115714
64.8,-0.03717380991,0.0004988195997,32.58486541,0.0115850894
65,-0.02382262795,-0.0002066567677,56.47163654,0.01276263879
65.2,-0.007688728986,-0.0008984950696,71.63168227,0.0106804672
65.4,0.009382201245,-0.001484509703,71.26781508,0.006374534369
65.6,0.02542876538,-0.001885009788,55.47805997,0.00205060491
65.8,0.03859854197,-0.002042877987,31.27514661,1.530894808e-05
66,0.04736163495,-0.00193094651,9.510130168,0.001531559407
66.2,0.05068850274,-0.001555761186,0.04351707465,0.006153579703
66.4,0.04817137454,-0.0009572542533,7.308697364,0.01187716728
66.6,0.04007486336,-0.0002043348493,28.26330045,0.01605648564
66.8,0.0273094036,0.0006131045041,53.67746973,0.01666920499
67,0.01132997451,0.001394834967,72.22064821,0.01333267219
67.2,-0.006028788934,0.002042337807,75.54224155,0.007573942445
67.4,-0.02276254806,0.002470819468,62.0696589,0.00219525506
67.6,-0.03692834454,0.002619756723,37.79453494,2.665251923e-07
67.8,-0.04687021858,0.002460695911,13.65337395,0.002458145957
68,-0.05141315278,0.002001344862,0.6417480544,0.008933243554
68.2,-0.05000256888,0.001285426423,4.841730221,0.01686637842
68.4,-0.04277272358,0.0003882585157,24.61185755,0.02286396753
68.6,-0.03053547088,-0.0005914706615,51.24076663,0.02422733745
68.8,-0.014690057,-0.001542811367,72.81357652,0.02023305197
69,0.002936171018,-0.002355276576,79.57897915,0.01256417187
69.2,0.02029810811,-0.002931711888,68.39991695,0.004660215937
69.4,0.03537012492,-0.003199810266,44.25395545,0.0002396974211
69.6,0.0463826746,-0.003120914885,18.06338081,0.001634747468
69.8,0.05203059019,-0.00269505672,1.795556403,0.008684086524
70,0.05162847146,-0.001961601607,3.029688684,0.01870246972
70.2,0.04519455925,-0.0009953852123,21.45825198,0.02757621279
70.4,0.03345273659,0.0001012644997,48.94130517,0.03153085348
70.6,0.01775182939,0.001209739569,73.13175774,0.02880407877
70.8,-8.890406575e-05,0.00220834189,83.05983628,0.02047940104
71,-0.01799045412,0.002985956978,74.15030492,0.01009080563
71.2,-0.03385652409,0.003454652694,50.37459868,0.002144037264
71.4,-0.04581946736,0.003559757988,22.52257404,0.0001813733372
71.6,-0.05246077361,0.003286257528,3.34151774,0.00522911786
71.8,-0.05297998062,0.002660754026,1.731848711,0.01531249844
72,-0.04729179622,0.001748753373,18.64481071,0.02626453361
72.2,-0.03603955756,0.0006475608823,46.57648062,0.03349230333
72.4,-0.02052296074,-0.0005244214998,72.92492169,0.03394286353
72.6,-0.002548111096,-0.001640794909,85.71006761,0.02741819486
72.8,0.01578282564,-0.002581182719,79.05848689,0.01666701769
73,0.03231785035,-0.003244585031,55.93847438,0.006210756251
73.2,0.04510833639,-0.003560558883,26.86878463,0.000410270062
73.4,0.05263933772,-0.003496961777,5.159593229,0.001608821362
73.6,0.05400968297,-0.003063387644,0.8395083464,0.009151384643
